Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"MP3 Players-(iPods, etc)",228.99,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Firearms,275,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Bags - Fabric, plastic, etc. (not purses), Clothing - Shoes, belts, accessories, etc.",725,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,Computer - Laptop,626.39,Settled,313.2
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,7.03,Approved,7.03
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Property Damage,Checkpoint,Computer - Laptop,604,Approved,604
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,11.49,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,299.9,Settled,170.62
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,483.9,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,589.72,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),212.99,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",150,Settled,75
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),157.5,Approved,157.5
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1506.17,Settled,230.66
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),65,Approved,65
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,40,Approved,40
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",500,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Motor Vehicle,Checked Baggage,Luggage (all types including footlockers),200,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Locks, Luggage (all types including footlockers)",70,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checked Baggage,"Jewelry - Costume, Jewelry - Fine",1200,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Personal Injury,Checkpoint,Other,500,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.), Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.), Cell Phones",248.34,Settled,119.85
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)",80,Approved,80
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Property Damage,Checked Baggage,Locks,50,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checked Baggage,Jewelry - Costume,50,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100,Settled,50
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Computer - Laptop, Other, Other",1100,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Dishes, Pottery, Glassware, Plasticware",60,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",208.69,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Eyeglasses - (including contact lenses),740.12,Settled,611.7
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,20,Approved,20
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Costume,132.3,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,16.94,Approved,16.94
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Other,59.74,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",95,Settled,47.5
ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Property Damage,Checked Baggage,Computer - Laptop,3500,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Clothing - Shoes, belts, accessories, etc., Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",1459.4,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Eyeglasses - (including contact lenses)",148.39,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,26500,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Locks, Luggage (all types including footlockers)",300,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checked Baggage,Stereo Items & Accessories,4498,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry - Fine,388,Approved,388
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",47.84,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,128.88,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,1000,Settled,161.56
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),84.8,Settled,37.4
ATL,Hartsfield-Jackson Atlanta International Airport,Continental Airlines,Property Damage,Checked Baggage,Computer - Laptop,842,Approved,842
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Other",221,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),48.15,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Jewelry - Costume, Jewelry - Costume, Jewelry - Costume",320,Settled,118.82
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Alcoholic beverages,22,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Books - Fiction, paperbacks, magazines, etc., Cosmetics - Perfume, toilet articles, medicines, soaps, etc., Paintings and Pictures (including frames, etchings, photos, etc)",150,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),80,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Luggage (all types including footlockers), Other",100,Approved,100
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,500,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Continental Airlines,Property Damage,Checked Baggage,Jewelry - Costume,32.1,Approved,32.1
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,2000,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),219.98,Approved,219.98
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,14,Approved,14
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Alcoholic beverages,145.8,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.), MP3 Players-(iPods, etc)",547.96,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),75,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),110,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),57.5,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,9,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,525,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,"Currency, Watches - Expensive more than $100",7191.47,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,"Clothing - Shoes, belts, accessories, etc., Medical Equipment & Insturments, Medicines",672,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air France,Passenger Property Loss,Checked Baggage,Other,200,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,27.82,Approved,27.82
ATL,Hartsfield-Jackson Atlanta International Airport,Air Jamaica,Passenger Property Loss,Checkpoint,Jewelry - Fine,1200,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checkpoint,Watches - Inexpensive $100 or less,47.65,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"MP3 Players-(iPods, etc)",250,Settled,124.5
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,6.84,Approved,6.84
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),59.95,Settled,29.98
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.95,Approved,10.95
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,458.11,Settled,359
ATL,Hartsfield-Jackson Atlanta International Airport,Northwest Airlines,Property Damage,Checkpoint,Other,179,Approved,179
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checkpoint,Other,5.95,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,Computer - Laptop,900,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Other",222.98,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Sporting Equipment & Supplies (footballs, parachutes, etc.)",315,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"MP3 Players-(iPods, etc)",230,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Other",4766.64,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc., Currency, Musical Instruments - Other - inexpensive $100 or less",4250,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Luggage (all types including footlockers)",450,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Jewelry - Fine, Other",1340.66,Settled,570.33
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Currency,250,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,15.9,Approved,15.9
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,270,Approved,270
ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Computer - Laptop",1225,Settled,209
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Cosmetics - Perfume, toilet articles, medicines, soaps, etc., Currency, Handbags & Purses (leather or fabric), Jewelry - Fine",745.62,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,250,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",20,Settled,10
ATL,Hartsfield-Jackson Atlanta International Airport,Northwest Airlines,Property Damage,Checked Baggage,Alcoholic beverages,78.26,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150,Settled,50
ATL,Hartsfield-Jackson Atlanta International Airport,America West,Passenger Property Loss,Checked Baggage,Locks,45,Approved,45
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"MP3 Players-(iPods, etc), Stereo Items & Accessories",374.48,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc., Medical Equipment & Insturments",621.73,Settled,464.86
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,PDA - Personal Data Assistants,568.71,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,"Cell Phones, Jewelry - Fine, Locks",964,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,6708.53,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Locks",63.99,Settled,32
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),380,Settled,190
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",105,Approved,105
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",55,Settled,27.5
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Other,79,Settled,39.5
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,"Eyeglasses - (including contact lenses), Other",183.6,Settled,91.8
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",210.31,Settled,105.16
ATL,Hartsfield-Jackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Locks,10,Approved,10
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,300,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)",1450,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,"Cameras - Digital, Jewelry - Fine",2584.78,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,8.6,Approved,8.6
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),242.13,Approved,242.13
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.69,Approved,10.69
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,476.99,Settled,238.5
ATL,Hartsfield-Jackson Atlanta International Airport,Midwest Express Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1500,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,Other,92.84,Settled,46.42
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,"Clothing - Shoes, belts, accessories, etc.",89,Approved,89
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Books - Fiction, paperbacks, magazines, etc., Jewelry - Costume, Jewelry - Fine, Other",416,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Other",100,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Books - Other (Hardcover non-fiction), Clothing - Shoes, belts, accessories, etc.",373.39,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,British Airways,Passenger Property Loss,Checked Baggage,Locks,16.05,Approved,16.05
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Locks, Luggage (all types including footlockers)",150,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,"Binoculars, Locks",97.99,Approved,97.99
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Computer - Laptop,1881.72,Approved,1881.72
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,5663,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",30,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc., Other",71.44,Settled,35.72
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Property Damage,Checked Baggage,"Dishes, Pottery, Glassware, Plasticware",195.72,Approved,195.72
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cameras - Digital, Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)",839.95,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,83.14,Settled,41.57
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"DVD/CD Players, MP3 Players-(iPods, etc), Stereo Items & Accessories",736.88,Settled,348.44
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Automobile Parts, Other",172.68,Settled,150
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"MP3 Players-(iPods, etc)",150,Approved,150
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Other,250,Approved,250
ATL,Hartsfield-Jackson Atlanta International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",96.22,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Property Damage,Checked Baggage,Luggage (all types including footlockers),50,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Barber Supplies - Scissors, shears, elecric razors, etc.",260,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,"Bags - Fabric, plastic, etc. (not purses), Cameras - Digital, Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.), Other",275,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),14000,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Locks, Luggage (all types including footlockers), Other",176.99,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1025,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,"Calculators - Adding machines, hand calculators, etc., Computer - Laptop",2274.02,Settled,600
ATL,Hartsfield-Jackson Atlanta International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,"Bags - Fabric, plastic, etc. (not purses), Cameras - Digital",300,Settled,150
ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checked Baggage,Computer - Laptop,2027.65,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Alcoholic beverages,13,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,95,Approved,95
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,11.36,Approved,11.36
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,Computer - Laptop,1990.58,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),38.88,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Bags - Fabric, plastic, etc. (not purses), Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",450,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc., Medicines",100,Approved,100
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.), GPS - Global Positioning System",337,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",43.2,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Jewelry - Costume, Jewelry - Fine",529,Settled,264.5
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Personal Injury,Checkpoint,Medicines,545.43,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cell Phones, DVD/CD Players",250,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"MP3 Players-(iPods, etc)",299.99,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",1548,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.59,Approved,10.59
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc., Jewelry - Costume",232,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Cell Phones, Computer - Laptop, Other",1545,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Alcoholic beverages,109,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,USAir,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc., Other",261.09,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),197.66,Approved,197.66
ATL,Hartsfield-Jackson Atlanta International Airport,Air Tran Airlines(do not use),Property Damage,Checkpoint,Computer - Laptop,1600,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,130,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",537.83,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checkpoint,"Baby - Strollers, car seats, playpen, etc.",339.99,Approved,339.99
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),360,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,"Batteries - Dry cell only, Cameras - Digital, Other",321.45,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),65,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,"Jewelry - Costume, Jewelry - Fine",800,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),315,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,420.79,Denied,0
ATL,Hartsfield-Jackson Atlanta International Airport,Air France,Property Damage,Checked Baggage,Luggage (all types including footlockers),200,Denied,0
