Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Cell Phones,326,Settled,75
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),259,Settled,50
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Property Damage,Checked Baggage,Other,60,Approved,60
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,80,Approved,80
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,162.95,Approved,162.95
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",261.48,Settled,175
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),139,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Locks,250,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,200,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),179,Settled,50
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,475.01,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",94,Settled,47
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,13.76,Approved,13.76
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Currency,185,Approved,185
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",115.5,Approved,115.5
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),59.54,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,167.44,Settled,83.72
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),435,Settled,391.5
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),15,Approved,15
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checked Baggage,Locks,15,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",85,Settled,42.5
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,Other,70.99,Approved,70.99
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,61,Approved,61
